iter	RMSE
210	0.4333942877
211	0.4333508916
212	0.4333089316
213	0.4332322937
214	0.433163714
215	0.4331087112
216	0.4330603386
217	0.4330041409
218	0.4329611581
219	0.4328968405
220	0.4328616971
221	0.4328199909
222	0.4327725367
223	0.4327376212
224	0.4326842692
225	0.4326444787
226	0.4326129036
227	0.4325795248
228	0.4325095328
229	0.4324689184
230	0.4324327079
231	0.4323882193
232	0.4323055864
233	0.4322694515
234	0.4322315853
235	0.4321994286
236	0.4321945015
237	0.4321465738
238	0.4320939083
239	0.4320641078
240	0.4320278548
241	0.4319727232
242	0.4319461459
243	0.4319168183
244	0.4318576274
245	0.4318259919
246	0.4317924861
247	0.4317581622
248	0.4317508194
249	0.4317065396
250	0.4316583787
251	0.4316335757
252	0.4315672854
253	0.4315393293
254	0.4315006067
255	0.4314547978
256	0.4314020634
257	0.4313697093
258	0.4313457828
259	0.4312954396
260	0.4312681005
261	0.4312276203
262	0.4311721551
263	0.4311651863
264	0.4311309711
265	0.4311116919
266	0.4310723358
267	0.4310415859
268	0.4310067625
269	0.4309510453
270	0.4309136044
271	0.430885732
272	0.4308158184
273	0.4307871147
274	0.4307617288
275	0.4307321549
276	0.4307252905
277	0.4306951492
278	0.4306654462
279	0.4306309829
280	0.4306076814
281	0.4306002284
282	0.4305787918
283	0.4305283707
284	0.4304730442
285	0.4304255346
286	0.4304188535
287	0.4303755418
288	0.4303404251
289	0.4303332967
290	0.4302870301
291	0.4302440877
292	0.4302058174
293	0.4301967493
294	0.4301495805
295	0.4301228878
296	0.4300990832
297	0.4300317794
298	0.4300029092
299	0.4299793815
300	0.4299396311
301	0.4299129846
302	0.4298759391
303	0.4298484777
304	0.4298419151
305	0.4298353228
306	0.429796492
307	0.4297667936
308	0.4297317637
309	0.4297254092
310	0.4297003057
311	0.4296554405
312	0.4296351524
313	0.4296018388
314	0.42954843
315	0.4295287138
316	0.4294741555
317	0.4294678749
318	0.4294298853
319	0.429393701
320	0.4293728224
321	0.4293370646
322	0.429311475
323	0.4292861015
324	0.4292516169
325	0.4292028295
326	0.4291786746
327	0.4291697867
328	0.4291489143
329	0.4291131358
330	0.4290878553
331	0.429052138
332	0.4290287191
333	0.4290048603
334	0.4289666136
335	0.428919369
336	0.4289095579
337	0.4288866959
338	0.4288449129
339	0.42879809
340	0.4287472307
341	0.4287411362
342	0.4287125536
343	0.4286962698
344	0.428665669
345	0.4286371211
346	0.4285795508
347	0.428572045
348	0.4285570883
349	0.4285243596
350	0.4284977148
351	0.4284655813
352	0.4284623023
353	0.4284397148
354	0.4284127036
355	0.4283849467
356	0.4283649828
357	0.4283623906
358	0.4283421138
359	0.4283214684
360	0.4283017941
361	0.4282840355
362	0.428249517
363	0.4282231915
364	0.4282206735
365	0.4281851087
366	0.4281497313
367	0.4281328025
368	0.4281134463
369	0.4280801156
370	0.4280601962
371	0.4280579569
372	0.4280453618
373	0.4280024538
374	0.4279754514
375	0.4279459031
376	0.427920531
377	0.4278897996
378	0.4278457684
379	0.4278058764
380	0.4277828739
381	0.4277476343
382	0.4277252064
383	0.4277229083
384	0.4277035794
385	0.4276662074
386	0.427634434
387	0.4275988938
388	0.4275924912
389	0.4275610246
390	0.4275310774
391	0.4275041378
392	0.4274985593
393	0.4274769213
394	0.4274491753
395	0.4274307559
396	0.4274146181
397	0.4273858233
398	0.4273673935
399	0.4273493079
400	0.4273312867
401	0.4273260863
402	0.4272974226
403	0.4272735225
404	0.4272509573
405	0.4272286041
406	0.4272047723
407	0.427199761
408	0.4271935779
409	0.4271707913
410	0.4271426081
411	0.4271250806
412	0.4271019985
413	0.4270842457
414	0.4270721736
415	0.4270517677
416	0.4270285813
417	0.4270237314
418	0.4270086844
419	0.4269819766
420	0.4269675174
421	0.4269527651
422	0.4269349128
423	0.4269301864
424	0.4269041877
425	0.4268704848
426	0.4268440258
427	0.4268309664
428	0.4268059528
429	0.4267823273
430	0.4267579452
431	0.4267413657
432	0.4267367601
433	0.4267064544
434	0.4267019679
435	0.4266868571
436	0.426663541
437	0.4266513728
438	0.4266451718
439	0.4266286981
440	0.4266105296
441	0.4265916001
442	0.4265671538
443	0.4265340365
444	0.4265142057
445	0.4265013537
446	0.4264781479
447	0.42645918
448	0.4264446725
449	0.4264218134
450	0.4264145401
451	0.426390363
452	0.4263743458
453	0.426358169
454	0.4263420792
455	0.4263179124
456	0.4263119646
457	0.4263002297
458	0.426289745
459	0.4262823001
460	0.4262777346
461	0.4262737698
462	0.4262418398
463	0.4262374097
464	0.4262177468
465	0.4261994376
466	0.4261938671
467	0.4261783666
468	0.4261562575
469	0.4261358319
470	0.4261318077
471	0.426126739
472	0.4261061692
473	0.4260869778
474	0.4260702692
475	0.4260553242
476	0.4260307082
477	0.426017824
478	0.4259969487
479	0.4259836604
480	0.4259653504
481	0.4259481348
482	0.4259232612
483	0.4259067682
484	0.4258834604
485	0.4258588126
486	0.4258538793
487	0.4258449729
488	0.4258336389
489	0.4258288763
490	0.4257982927
491	0.4257890413
492	0.425785385
493	0.4257677256
494	0.4257463541
495	0.425741247
496	0.4257268255
497	0.4257074064
498	0.4256953365
499	0.4256697191
500	0.4256384241
501	0.4256157599
502	0.4256002618
503	0.4255870761
504	0.4255689222
505	0.4255515264
506	0.4255353318
507	0.4255216259
508	0.4255170553
509	0.4254963145
510	0.4254854207
511	0.4254796617
512	0.4254539401
513	0.4254440791
514	0.4254276664
515	0.4254170644
516	0.4253888315
517	0.4253662565
518	0.425343343
519	0.4253377666
520	0.425322714
521	0.4253100738
522	0.4252961138
523	0.4252848846
524	0.4252723529
525	0.4252564077
526	0.4252329864
527	0.4252060269
528	0.4251721723
529	0.4251679189
530	0.42515723
531	0.4251371972
532	0.4251187221
533	0.4251079336
534	0.4250970858
535	0.4250863982
536	0.4250740742
537	0.4250618056
538	0.4250577232
539	0.425054518
540	0.4250373083
541	0.4250258021
542	0.4250033978
543	0.4249925818
544	0.4249772613
545	0.4249744625
546	0.4249578847
547	0.4249368957
548	0.4249260082
549	0.4249049509
550	0.4248854336
551	0.4248662967
552	0.4248382321
553	0.4248062574
554	0.4247849987
555	0.4247654286
556	0.4247521051
557	0.4247369078
558	0.4247213279
559	0.424716885
560	0.4246890646
561	0.4246770662
562	0.424666309
563	0.4246539833
564	0.4246376376
565	0.4246188534
566	0.4245971472
567	0.4245872119
568	0.4245691435
569	0.424545535
570	0.4245429608
571	0.4245286515
572	0.4245151913
573	0.4245049674
574	0.4244934909
575	0.4244745698
576	0.4244517305
577	0.4244361481
578	0.4244222125
579	0.424391879
580	0.4243800107
581	0.4243676211
582	0.4243568192
583	0.4243482342
584	0.4243380578
585	0.4243197625
586	0.4243055854
587	0.4242927483
588	0.4242850489
589	0.4242595933
590	0.4242296471
591	0.4242206257
592	0.4242039425
593	0.4241930473
594	0.4241741182
595	0.4241590774
596	0.4241535008
597	0.4241444946
598	0.4241300457
599	0.4241270637
600	0.4241002775
601	0.4240879674
602	0.424076092
603	0.424061212
604	0.4240487407
605	0.4240407094
606	0.4240311353
607	0.4240260482
608	0.4240163297
609	0.4240115998
610	0.424008255
611	0.4239970153
612	0.4239891419
613	0.4239729854
614	0.4239599692
615	0.4239480052
616	0.4239427095
617	0.4239324069
618	0.4239255259
619	0.423912422
620	0.4238978905
621	0.4238801268
622	0.4238618634
623	0.4238544531
624	0.4238445526
625	0.4238209264
626	0.4237900446
627	0.4237437138
628	0.4237232354
629	0.4237137348
630	0.4237014671
631	0.4236905854
632	0.4236856031
633	0.4236694906
634	0.4236610121
635	0.4236553641
636	0.4236422452
637	0.4236310518
638	0.423617784
639	0.4235990517
640	0.4235865299
641	0.4235682809
642	0.4235588125
643	0.4235448137
644	0.4235362232
645	0.4235339519
646	0.4235289623
647	0.4235178359
648	0.4235082788
649	0.4234976546
650	0.4234870379
651	0.4234825433
652	0.4234567473
653	0.4234459652
654	0.4234412087
655	0.423432944
656	0.4234127653
657	0.4234100728
658	0.4234011102
659	0.4233899837
660	0.4233771805
661	0.4233693477
662	0.4233435184
663	0.4233244242
664	0.4233095074
665	0.4232972816
666	0.4232730025
667	0.4232699375
668	0.4232550826
669	0.4232408541
670	0.423230392
671	0.4232257901
672	0.4232195111
673	0.4232101563
674	0.4232051886
675	0.4231898213
676	0.4231774155
677	0.4231625419
678	0.4231542548
679	0.4231399853
680	0.4231305501
681	0.4231200789
682	0.4231115181
683	0.4231027105
684	0.4230936283
685	0.4230762879
686	0.4230639592
687	0.4230593756
688	0.4230478091
689	0.4230451154
690	0.4230365494
691	0.4230192413
692	0.4230069042
693	0.4229851026
694	0.4229732759
695	0.422970999
696	0.4229596429
697	0.4229518428
698	0.4229491951
699	0.4229404058
700	0.4229272637
701	0.4229144048
702	0.4228997292
703	0.422897123
704	0.4228860519
705	0.4228846489
706	0.4228718176
707	0.42286439
708	0.4228523774
709	0.4228416386
710	0.4228331989
711	0.4228206055
712	0.4228071236
713	0.422794533
714	0.4227866193
715	0.4227687737
716	0.4227606308
717	0.4227512721
718	0.4227505241
719	0.4227465922
720	0.4227445239
721	0.4227324502
722	0.4227137833
723	0.4227021408
724	0.4226830644
725	0.4226516291
726	0.422646953
727	0.422635896
728	0.4226318563
729	0.4226188009
730	0.4226043953
731	0.4225856312
732	0.4225744284
733	0.4225634409
734	0.4225469146
735	0.4225209338
736	0.422513765
737	0.4225117874
738	0.4225066874
739	0.4224946018
740	0.4224854594
741	0.4224781303
742	0.4224690129
743	0.4224668589
744	0.4224544887
745	0.4224411886
746	0.4224381513
747	0.4224348486
748	0.4224259966
749	0.4224091177
750	0.4223912729
751	0.4223823374
752	0.4223711528
753	0.4223586037
754	0.422341119
755	0.422333975
756	0.4223269013
757	0.4223165516
758	0.4223141658
759	0.4223064557
760	0.422292977
761	0.4222814856
762	0.4222764112
763	0.4222635485
764	0.4222563964
765	0.422241994
766	0.4222328644
767	0.4222089464
768	0.4221946534
769	0.4221916223
770	0.4221857506
771	0.4221770823
772	0.4221612496
773	0.4221492168
774	0.4221382225
775	0.4221210981
776	0.4221123554
777	0.4221057026
778	0.4220919848
779	0.4220779836
780	0.4220672171
781	0.4220582077
782	0.4220354127
783	0.4220282787
784	0.4220181938
785	0.4220156658
786	0.4220064995
787	0.422002891
788	0.4220006156
789	0.4219885897
790	0.4219761431
791	0.421973242
792	0.4219477163
793	0.421941093
794	0.4219265043
795	0.4219211168
796	0.4219075162
797	0.4219049975
798	0.421893876
799	0.4218828999
800	0.4218604242
801	0.4218530464
802	0.4218442083
803	0.4218362277
804	0.4218346275
805	0.4218274082
806	0.4218171357
807	0.4218085925
808	0.4217936098
809	0.4217773764
810	0.4217696418
811	0.4217586339
812	0.4217460335
813	0.4217335584
814	0.4217165707
815	0.4217053745
816	0.421694914
817	0.4216780811
818	0.4216696005
819	0.4216592401
820	0.4216577924
821	0.4216385008
822	0.4216192922
823	0.4216040318
824	0.4215944879
825	0.4215911845
826	0.4215714387
827	0.4215524132
828	0.4215439819
829	0.4215346926
830	0.4215070791
831	0.4214945207
832	0.4214821051
833	0.4214721419
834	0.4214599846
835	0.4214446418
836	0.4214376822
837	0.4214206157
838	0.421411533
839	0.4214057003
840	0.4214038909
841	0.4213955296
842	0.4213882541
843	0.4213743754
844	0.4213640031
845	0.4213540545
846	0.4213445221
847	0.4213383754
848	0.4213309955
849	0.4213229355
850	0.4213217582
851	0.4213132399
852	0.4213061444
853	0.4212986053
854	0.4212815335
855	0.4212724332
856	0.4212640115
857	0.4212507342
858	0.4212365496
859	0.4212292811
860	0.4212230341
861	0.4212160302
862	0.4212071782
863	0.4211961507
864	0.4211900903
865	0.4211805974
866	0.4211722335
867	0.4211664114
868	0.4211572414
869	0.4211501131
870	0.421136909
871	0.4211278126
872	0.4211175426
873	0.4211097303
874	0.4211012755
875	0.4210906852
876	0.421080388
877	0.4210710273
878	0.4210670649
879	0.4210610147
880	0.4210530104
881	0.4210458805
882	0.4210438267
883	0.4210355323
884	0.4210217121
885	0.4210208704
886	0.4210010435
887	0.42099348
888	0.4209880413
889	0.420980118
890	0.4209759591
891	0.4209686613
892	0.4209631703
893	0.4209393149
894	0.4209211679
895	0.4209147995
896	0.4209075372
897	0.420905868
898	0.4209050619
899	0.4208923972
900	0.4208810549
901	0.420876246
902	0.4208756012
903	0.4208642429
904	0.420852888
905	0.4208466653
906	0.4208405778
907	0.4208311482
908	0.4208242084
909	0.4208162433
910	0.4208023717
911	0.4207895771
912	0.4207746777
913	0.4207711551
914	0.4207584977
915	0.4207519088
916	0.4207441607
917	0.420735878
918	0.4207241855
919	0.4207235037
920	0.4207154186
921	0.4207121328
922	0.4207045622
923	0.420695108
924	0.4206806099
925	0.4206656373
926	0.4206567525
927	0.4206444973
928	0.420630141
929	0.4206173488
930	0.4206120431
931	0.4206049293
932	0.420584136
933	0.4205762962
934	0.4205745892
935	0.4205608779
936	0.4205584753
937	0.4205516106
938	0.4205435341
939	0.4205385107
940	0.4205294745
941	0.4205105527
942	0.4205046849
943	0.4204971571
944	0.4204837925
945	0.4204770874
946	0.4204686305
947	0.4204625663
948	0.4204579422
949	0.4204566297
950	0.4204466944
951	0.4204386462
952	0.4204380613
953	0.4204316186
954	0.420423768
955	0.4204122538
956	0.4204050816
957	0.4204034288
958	0.4203876078
959	0.4203719412
960	0.4203676101
961	0.4203594465
962	0.4203585057
963	0.4203547505
964	0.4203424821
965	0.4203338318
966	0.4203267973
967	0.4203209191
968	0.4203173758
969	0.4203032518
970	0.4202959858
971	0.420287032
972	0.4202853586
973	0.4202759704
974	0.4202667984
975	0.420259702
976	0.4202484569
977	0.4202376477
978	0.4202200766
979	0.4202170541
980	0.420201207
981	0.420195178
982	0.4201821176
983	0.4201787277
984	0.4201696577
985	0.420157766
986	0.4201524117
987	0.420146057
988	0.4201363372
989	0.4201335357
990	0.4200991587
991	0.4200931527
992	0.4200827566
993	0.4200751244
994	0.4200597865
995	0.4200483262
996	0.4200401666
997	0.4200225046
998	0.420014237
999	0.4200072716
